objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year
,Phungling Nagarpalika,TAPLEJUNG,Phungling,Nagarpalika,1,1,6,10106,524 1 01 3 001,NP0101301,acc_com_radio,4588,Radio,,Access to Communication,
,Phaktanglung Gaunpalika,TAPLEJUNG,Phaktanglung,Gaunpalika,1,1,5,10101,524 1 01 4 001,NP0101401,acc_com_radio,1601,Radio,,Access to Communication,
,Mikwakhola Gaunpalika,TAPLEJUNG,Mikwakhola,Gaunpalika,1,1,4,10102,524 1 01 4 002,NP0101402,acc_com_radio,1235,Radio,,Access to Communication,
,Sirijangha Gaunpalika,TAPLEJUNG,Sirijangha,Gaunpalika,1,1,8,10108,524 1 01 4 003,NP0101403,acc_com_radio,2057,Radio,,Access to Communication,
,Meringden Gaunpalika,TAPLEJUNG,Meringden,Gaunpalika,1,1,3,10103,524 1 01 4 004,NP0101404,acc_com_radio,1434,Radio,,Access to Communication,
,Maiwakhola Gaunpalika,TAPLEJUNG,Maiwakhola,Gaunpalika,1,1,2,10104,524 1 01 4 005,NP0101405,acc_com_radio,1505,Radio,,Access to Communication,
,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,1,1,10105,524 1 01 4 006,NP0101406,acc_com_radio,2001,Radio,,Access to Communication,
,Yangwarak Gaunpalika,TAPLEJUNG,Yangwarak,Gaunpalika,1,1,9,10107,524 1 01 4 007,NP0101407,acc_com_radio,1974,Radio,,Access to Communication,
,Sidingba Gaunpalika,TAPLEJUNG,Sidingba,Gaunpalika,1,1,7,10109,524 1 01 4 008,NP0101408,acc_com_radio,1506,Radio,,Access to Communication,
,Phidim Nagarpalika,PANCHTHAR,Phidim,Nagarpalika,1,2,15,10904,524 1 02 3 001,NP0102301,acc_com_radio,6702,Radio,,Access to Communication,
,Hilihang Gaunpalika,PANCHTHAR,Hilihang,Gaunpalika,1,2,12,10902,524 1 02 4 001,NP0102401,acc_com_radio,3300,Radio,,Access to Communication,
,Yangwarak Gaunpalika,PANCHTHAR,Yangwarak,Gaunpalika,1,2,17,10107,524 1 02 4 002,NP0102402,acc_com_radio,2252,Radio,,Access to Communication,
,Falelung Gaunpalika,PANCHTHAR,Falelung,Gaunpalika,1,2,10,10903,524 1 02 4 003,NP0102403,acc_com_radio,3034,Radio,,Access to Communication,
,Kummayak Gaunpalika,PANCHTHAR,Kummayak,Gaunpalika,1,2,13,10906,524 1 02 4 004,NP0102404,acc_com_radio,2319,Radio,,Access to Communication,
,Falgunanda Gaunpalika,PANCHTHAR,Falgunanda,Gaunpalika,1,2,11,10905,524 1 02 4 005,NP0102405,acc_com_radio,3250,Radio,,Access to Communication,
,Tumbewa Gaunpalika,PANCHTHAR,Tumbewa,Gaunpalika,1,2,16,10907,524 1 02 4 006,NP0102406,acc_com_radio,1834,Radio,,Access to Communication,
,Miklajung Gaunpalika,PANCHTHAR,Miklajung,Gaunpalika,1,2,14,10908,524 1 02 4 007,NP0102407,acc_com_radio,3562,Radio,,Access to Communication,
,Deumai Nagarpalika,ILAM,Deumai,Nagarpalika,1,3,19,11004,524 1 03 3 001,NP0103301,acc_com_radio,4956,Radio,,Access to Communication,
,Illam Nagarpalika,ILAM,Illam,Nagarpalika,1,3,21,11003,524 1 03 3 002,NP0103302,acc_com_radio,7948,Radio,,Access to Communication,
,Suryodaya Nagarpalika,ILAM,Suryodaya,Nagarpalika,1,3,27,11009,524 1 03 3 003,NP0103303,acc_com_radio,9043,Radio,,Access to Communication,
,Mai Nagarpalika,ILAM,Mai,Nagarpalika,1,3,22,11008,524 1 03 3 004,NP0103304,acc_com_radio,4345,Radio,,Access to Communication,
,Fakphokthum Gaunpalika,ILAM,Fakphokthum,Gaunpalika,1,3,20,11005,524 1 03 4 001,NP0103401,acc_com_radio,3241,Radio,,Access to Communication,
,Sandakpur Gaunpalika,ILAM,Sandakpur,Gaunpalika,1,3,26,11002,524 1 03 4 002,NP0103402,acc_com_radio,2494,Radio,,Access to Communication,
,Maijogmai Gaunpalika,ILAM,Maijogmai,Gaunpalika,1,3,23,11001,524 1 03 4 003,NP0103403,acc_com_radio,3320,Radio,,Access to Communication,
,Chulachuli Gaunpalika,ILAM,Chulachuli,Gaunpalika,1,3,18,11007,524 1 03 4 004,NP0103404,acc_com_radio,2688,Radio,,Access to Communication,
,Mangsebung Gaunpalika,ILAM,Mangsebung,Gaunpalika,1,3,24,11006,524 1 03 4 005,NP0103405,acc_com_radio,2375,Radio,,Access to Communication,
,Rong Gaunpalika,ILAM,Rong,Gaunpalika,1,3,25,11010,524 1 03 4 006,NP0103406,acc_com_radio,2853,Radio,,Access to Communication,
,Damak Nagarpalika,JHAPA,Damak,Nagarpalika,1,4,33,11107,524 1 04 3 001,NP0104301,acc_com_radio,9849,Radio,,Access to Communication,
,Shivasataxi Nagarpalika,JHAPA,Shivasataxi,Nagarpalika,1,4,42,11105,524 1 04 3 002,NP0104302,acc_com_radio,8084,Radio,,Access to Communication,
,Kankai Nagarpalika,JHAPA,Kankai,Nagarpalika,1,4,40,11104,524 1 04 3 003,NP0104303,acc_com_radio,5418,Radio,,Access to Communication,
,Arjundhara Nagarpalika,JHAPA,Arjundhara,Nagarpalika,1,4,28,11103,524 1 04 3 004,NP0104304,acc_com_radio,7465,Radio,,Access to Communication,
,Mechinagar Nagarpalika,JHAPA,Mechinagar,Nagarpalika,1,4,41,11101,524 1 04 3 005,NP0104305,acc_com_radio,12311,Radio,,Access to Communication,
,Gauradhaha Nagarpalika,JHAPA,Gauradhaha,Nagarpalika,1,4,34,11108,524 1 04 3 006,NP0104306,acc_com_radio,6138,Radio,,Access to Communication,
,Birtamod Nagarpalika,JHAPA,Birtamod,Nagarpalika,1,4,31,11112,524 1 04 3 007,NP0104307,acc_com_radio,9662,Radio,,Access to Communication,
,Bhadrapur Nagarpalika,JHAPA,Bhadrapur,Nagarpalika,1,4,30,11114,524 1 04 3 008,NP0104308,acc_com_radio,7853,Radio,,Access to Communication,
,Kamal Gaunpalika,JHAPA,Kamal,Gaunpalika,1,4,39,11106,524 1 04 4 001,NP0104401,acc_com_radio,5242,Radio,,Access to Communication,
,Buddhashanti Gaunpalika,JHAPA,Buddhashanti,Gaunpalika,1,4,32,11102,524 1 04 4 002,NP0104402,acc_com_radio,5941,Radio,,Access to Communication,
,Gauriganj Gaunpalika,JHAPA,Gauriganj,Gaunpalika,1,4,35,11109,524 1 04 4 003,NP0104403,acc_com_radio,2743,Radio,,Access to Communication,
,Jhapa Gaunpalika,JHAPA,Jhapa,Gaunpalika,1,4,37,11110,524 1 04 4 004,NP0104404,acc_com_radio,2627,Radio,,Access to Communication,
,Barhadashi Gaunpalika,JHAPA,Barhadashi,Gaunpalika,1,4,29,11111,524 1 04 4 005,NP0104405,acc_com_radio,3864,Radio,,Access to Communication,
,Haldibari Gaunpalika,JHAPA,Haldibari,Gaunpalika,1,4,36,11113,524 1 04 4 006,NP0104406,acc_com_radio,3626,Radio,,Access to Communication,
,Kachankawal Gaunpalika,JHAPA,Kachankawal,Gaunpalika,1,4,38,11115,524 1 04 4 007,NP0104407,acc_com_radio,3833,Radio,,Access to Communication,
,Biratnagar Mahanagarpalika,MORANG,Biratnagar,Mahanagarpalika,1,5,44,11214,524 1 05 1 001,NP0105101,acc_com_radio,21535,Radio,,Access to Communication,
,Letang Nagarpalika,MORANG,Letang,Nagarpalika,1,5,52,11202,524 1 05 3 001,NP0105301,acc_com_radio,3954,Radio,,Access to Communication,
,Sundarharaicha Nagarpalika,MORANG,Sundarharaicha,Nagarpalika,1,5,57,11204,524 1 05 3 002,NP0105302,acc_com_radio,8282,Radio,,Access to Communication,
,Belbari Nagarpalika,MORANG,Belbari,Nagarpalika,1,5,43,11205,524 1 05 3 003,NP0105303,acc_com_radio,6629,Radio,,Access to Communication,
,Patahrishanishchare Nagarpalika,MORANG,Patahrishanishchare,Nagarpalika,1,5,54,11207,524 1 05 3 004,NP0105304,acc_com_radio,5901,Radio,,Access to Communication,
,Uralabari Nagarpalika,MORANG,Uralabari,Nagarpalika,1,5,59,11208,524 1 05 3 005,NP0105305,acc_com_radio,5808,Radio,,Access to Communication,
,Rangeli Nagarpalika,MORANG,Rangeli,Nagarpalika,1,5,55,11211,524 1 05 3 006,NP0105306,acc_com_radio,3539,Radio,,Access to Communication,
,Sunwarshi Nagarpalika,MORANG,Sunwarshi,Nagarpalika,1,5,58,11210,524 1 05 3 007,NP0105307,acc_com_radio,2432,Radio,,Access to Communication,
,Ratuwamai Nagarpalika,MORANG,Ratuwamai,Nagarpalika,1,5,56,11209,524 1 05 3 008,NP0105308,acc_com_radio,3919,Radio,,Access to Communication,
,Kerabari Gaunpalika,MORANG,Kerabari,Gaunpalika,1,5,51,11203,524 1 05 4 001,NP0105401,acc_com_radio,3831,Radio,,Access to Communication,
,Miklajung Gaunpalika,MORANG,Miklajung,Gaunpalika,1,5,53,10908,524 1 05 4 002,NP0105402,acc_com_radio,3292,Radio,,Access to Communication,
,Kanepokhari Gaunpalika,MORANG,Kanepokhari,Gaunpalika,1,5,49,11206,524 1 05 4 003,NP0105403,acc_com_radio,3574,Radio,,Access to Communication,
,Budhiganga Gaunpalika,MORANG,Budhiganga,Gaunpalika,1,5,45,11213,524 1 05 4 004,NP0105404,acc_com_radio,3297,Radio,,Access to Communication,
,Gramthan Gaunpalika,MORANG,Gramthan,Gaunpalika,1,5,47,11212,524 1 05 4 005,NP0105405,acc_com_radio,2792,Radio,,Access to Communication,
,Katahari Gaunpalika,MORANG,Katahari,Gaunpalika,1,5,50,11215,524 1 05 4 006,NP0105406,acc_com_radio,2781,Radio,,Access to Communication,
,Jahada Gaunpalika,MORANG,Jahada,Gaunpalika,1,5,48,11217,524 1 05 4 007,NP0105407,acc_com_radio,1485,Radio,,Access to Communication,
,Dhanpalthan Gaunpalika,MORANG,Dhanpalthan,Gaunpalika,1,5,46,11216,524 1 05 4 008,NP0105408,acc_com_radio,2057,Radio,,Access to Communication,
,Dharan Upamahanagarpalika,SUNSARI,Dharan,Upamahanagarpalika,1,6,64,11301,524 1 06 2 001,NP0106201,acc_com_radio,14135,Radio,,Access to Communication,
