objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year,value_formula,,,HLICT_Code,Community_school
,Phungling Nagarpalika,TAPLEJUNG,Phungling,Nagarpalika,1,1,6,10106,524 1 01 3 001,NP0101301,e_i_f_n_c_s,51,Community School,,Total number of schools community/institutional,,51,,,524 7 70 4 001,32
,Phaktanglung Gaunpalika,TAPLEJUNG,Phaktanglung,Gaunpalika,1,1,5,10101,524 1 01 4 001,NP0101401,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 2 33 4 009,14
,Mikwakhola Gaunpalika,TAPLEJUNG,Mikwakhola,Gaunpalika,1,1,4,10102,524 1 01 4 002,NP0101402,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 5 55 4 007,44
,Sirijangha Gaunpalika,TAPLEJUNG,Sirijangha,Gaunpalika,1,1,8,10108,524 1 01 4 003,NP0101403,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 7 73 4 004,42
,Meringden Gaunpalika,TAPLEJUNG,Meringden,Gaunpalika,1,1,3,10103,524 1 01 4 004,NP0101404,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 1 10 4 006,43
,Maiwakhola Gaunpalika,TAPLEJUNG,Maiwakhola,Gaunpalika,1,1,2,10104,524 1 01 4 005,NP0101405,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 4 40 4 005,41
,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,1,1,10105,524 1 01 4 006,NP0101406,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 4 41 4 001,41
,Yangwarak Gaunpalika,TAPLEJUNG,Yangwarak,Gaunpalika,1,1,9,10107,524 1 01 4 007,NP0101407,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 4 36 4 006,42
,Sidingba Gaunpalika,TAPLEJUNG,Sidingba,Gaunpalika,1,1,7,10109,524 1 01 4 008,NP0101408,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 6 52 3 001,59
,Phidim Nagarpalika,PANCHTHAR,Phidim,Nagarpalika,1,2,15,10904,524 1 02 3 001,NP0102301,e_i_f_n_c_s,80,Community School,,Total number of schools community/institutional,,80,,,524 1 08 4 003,59
,Hilihang Gaunpalika,PANCHTHAR,Hilihang,Gaunpalika,1,2,12,10902,524 1 02 4 001,NP0102401,e_i_f_n_c_s,44,Community School,,Total number of schools community/institutional,,44,,,524 1 01 4 006,35
,Yangwarak Gaunpalika,PANCHTHAR,Yangwarak,Gaunpalika,1,2,17,10107,524 1 02 4 002,NP0102402,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 6 61 3 001,58
,Falelung Gaunpalika,PANCHTHAR,Falelung,Gaunpalika,1,2,10,10903,524 1 02 4 003,NP0102403,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 6 66 4 007,19
,Kummayak Gaunpalika,PANCHTHAR,Kummayak,Gaunpalika,1,2,13,10906,524 1 02 4 004,NP0102404,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 2 15 4 002,21
,Falgunanda Gaunpalika,PANCHTHAR,Falgunanda,Gaunpalika,1,2,11,10905,524 1 02 4 005,NP0102405,e_i_f_n_c_s,40,Community School,,Total number of schools community/institutional,,40,,,524 1 12 4 001,43
,Tumbewa Gaunpalika,PANCHTHAR,Tumbewa,Gaunpalika,1,2,16,10907,524 1 02 4 006,NP0102406,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 7 73 4 002,33
,Miklajung Gaunpalika,PANCHTHAR,Miklajung,Gaunpalika,1,2,14,10908,524 1 02 4 007,NP0102407,e_i_f_n_c_s,56,Community School,,Total number of schools community/institutional,,56,,,524 4 36 4 002,32
,Deumai Nagarpalika,ILAM,Deumai,Nagarpalika,1,3,19,11004,524 1 03 3 001,NP0103301,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 7 73 3 002,31
,Illam Nagarpalika,ILAM,Illam,Nagarpalika,1,3,21,11003,524 1 03 3 002,NP0103302,e_i_f_n_c_s,58,Community School,,Total number of schools community/institutional,,58,,,524 4 39 4 001,54
,Suryodaya Nagarpalika,ILAM,Suryodaya,Nagarpalika,1,3,27,11009,524 1 03 3 003,NP0103303,e_i_f_n_c_s,71,Community School,,Total number of schools community/institutional,,71,,,524 4 44 4 003,38
,Mai Nagarpalika,ILAM,Mai,Nagarpalika,1,3,22,11008,524 1 03 3 004,NP0103304,e_i_f_n_c_s,50,Community School,,Total number of schools community/institutional,,50,,,524 7 75 4 003,24
,Fakphokthum Gaunpalika,ILAM,Fakphokthum,Gaunpalika,1,3,20,11005,524 1 03 4 001,NP0103401,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 4 41 4 003,33
,Sandakpur Gaunpalika,ILAM,Sandakpur,Gaunpalika,1,3,26,11002,524 1 03 4 002,NP0103402,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 1 04 3 004,32
,Maijogmai Gaunpalika,ILAM,Maijogmai,Gaunpalika,1,3,23,11001,524 1 03 4 003,NP0103403,e_i_f_n_c_s,38,Community School,,Total number of schools community/institutional,,38,,,524 2 16 4 003,15
,Chulachuli Gaunpalika,ILAM,Chulachuli,Gaunpalika,1,3,18,11007,524 1 03 4 004,NP0103404,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 1 10 4 003,36
,Mangsebung Gaunpalika,ILAM,Mangsebung,Gaunpalika,1,3,24,11006,524 1 03 4 005,NP0103405,e_i_f_n_c_s,33,Community School,,Total number of schools community/institutional,,33,,,524 2 16 4 004,15
,Rong Gaunpalika,ILAM,Rong,Gaunpalika,1,3,25,11010,524 1 03 4 006,NP0103406,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 2 17 4 003,10
,Damak Nagarpalika,JHAPA,Damak,Nagarpalika,1,4,33,11107,524 1 04 3 001,NP0104301,e_i_f_n_c_s,25,Community School,,Total number of schools community/institutional,,25,,,524 2 18 3 003,17
,Shivasataxi Nagarpalika,JHAPA,Shivasataxi,Nagarpalika,1,4,42,11105,524 1 04 3 002,NP0104302,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 5 56 4 001,34
,Kankai Nagarpalika,JHAPA,Kankai,Nagarpalika,1,4,40,11104,524 1 04 3 003,NP0104303,e_i_f_n_c_s,17,Community School,,Total number of schools community/institutional,,17,,,524 5 58 4 002,43
,Arjundhara Nagarpalika,JHAPA,Arjundhara,Nagarpalika,1,4,28,11103,524 1 04 3 004,NP0104304,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 7 70 4 006,40
,Mechinagar Nagarpalika,JHAPA,Mechinagar,Nagarpalika,1,4,41,11101,524 1 04 3 005,NP0104305,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 4 43 4 003,62
,Gauradhaha Nagarpalika,JHAPA,Gauradhaha,Nagarpalika,1,4,34,11108,524 1 04 3 006,NP0104306,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 7 68 3 002,25
,Birtamod Nagarpalika,JHAPA,Birtamod,Nagarpalika,1,4,31,11112,524 1 04 3 007,NP0104307,e_i_f_n_c_s,26,Community School,,Total number of schools community/institutional,,26,,,524 6 53 3 002,70
,Bhadrapur Nagarpalika,JHAPA,Bhadrapur,Nagarpalika,1,4,30,11114,524 1 04 3 008,NP0104308,e_i_f_n_c_s,33,Community School,,Total number of schools community/institutional,,33,,,524 5 46 4 005,31
,Kamal Gaunpalika,JHAPA,Kamal,Gaunpalika,1,4,39,11106,524 1 04 4 001,NP0104401,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 4 43 3 003,111
,Buddhashanti Gaunpalika,JHAPA,Buddhashanti,Gaunpalika,1,4,32,11102,524 1 04 4 002,NP0104402,e_i_f_n_c_s,19,Community School,,Total number of schools community/institutional,,19,,,524 3 25 4 001,46
,Gauriganj Gaunpalika,JHAPA,Gauriganj,Gaunpalika,1,4,35,11109,524 1 04 4 003,NP0104403,e_i_f_n_c_s,26,Community School,,Total number of schools community/institutional,,26,,,524 3 31 4 008,50
,Jhapa Gaunpalika,JHAPA,Jhapa,Gaunpalika,1,4,37,11110,524 1 04 4 004,NP0104404,e_i_f_n_c_s,40,Community School,,Total number of schools community/institutional,,40,,,524 2 19 3 001,14
,Barhadashi Gaunpalika,JHAPA,Barhadashi,Gaunpalika,1,4,29,11111,524 1 04 4 005,NP0104405,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 3 23 3 003,52
,Haldibari Gaunpalika,JHAPA,Haldibari,Gaunpalika,1,4,36,11113,524 1 04 4 006,NP0104406,e_i_f_n_c_s,18,Community School,,Total number of schools community/institutional,,18,,,524 4 45 4 003,17
,Kachankawal Gaunpalika,JHAPA,Kachankawal,Gaunpalika,1,4,38,11115,524 1 04 4 007,NP0104407,e_i_f_n_c_s,33,Community School,,Total number of schools community/institutional,,33,,,524 2 34 3 002,21
,Biratnagar Mahanagarpalika,MORANG,Biratnagar,Mahanagarpalika,1,5,44,11214,524 1 05 1 001,NP0105101,e_i_f_n_c_s,83,Community School,,Total number of schools community/institutional,,83,,,524 5 57 4 002,42
,Letang Nagarpalika,MORANG,Letang,Nagarpalika,1,5,52,11202,524 1 05 3 001,NP0105301,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 3 22 4 004,36
,Sundarharaicha Nagarpalika,MORANG,Sundarharaicha,Nagarpalika,1,5,57,11204,524 1 05 3 002,NP0105302,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 3 31 4 007,75
,Belbari Nagarpalika,MORANG,Belbari,Nagarpalika,1,5,43,11205,524 1 05 3 003,NP0105303,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 2 15 4 004,18
,Patahrishanishchare Nagarpalika,MORANG,Patahrishanishchare,Nagarpalika,1,5,54,11207,524 1 05 3 004,NP0105304,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 2 19 3 011,27
,Uralabari Nagarpalika,MORANG,Uralabari,Nagarpalika,1,5,59,11208,524 1 05 3 005,NP0105305,e_i_f_n_c_s,20,Community School,,Total number of schools community/institutional,,20,,,524 2 18 3 007,29
,Rangeli Nagarpalika,MORANG,Rangeli,Nagarpalika,1,5,55,11211,524 1 05 3 006,NP0105306,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 3 23 4 006,36
,Sunwarshi Nagarpalika,MORANG,Sunwarshi,Nagarpalika,1,5,58,11210,524 1 05 3 007,NP0105307,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 6 53 3 001,66
,Ratuwamai Nagarpalika,MORANG,Ratuwamai,Nagarpalika,1,5,56,11209,524 1 05 3 008,NP0105308,e_i_f_n_c_s,45,Community School,,Total number of schools community/institutional,,45,,,524 4 40 4 004,41
,Kerabari Gaunpalika,MORANG,Kerabari,Gaunpalika,1,5,51,11203,524 1 05 4 001,NP0105401,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 3 24 3 002,43
,Miklajung Gaunpalika,MORANG,Miklajung,Gaunpalika,1,5,53,10908,524 1 05 4 002,NP0105402,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 5 56 4 005,41
,Kanepokhari Gaunpalika,MORANG,Kanepokhari,Gaunpalika,1,5,49,11206,524 1 05 4 003,NP0105403,e_i_f_n_c_s,18,Community School,,Total number of schools community/institutional,,18,,,524 5 49 3 003,49
,Budhiganga Gaunpalika,MORANG,Budhiganga,Gaunpalika,1,5,45,11213,524 1 05 4 004,NP0105404,e_i_f_n_c_s,19,Community School,,Total number of schools community/institutional,,19,,,524 7 69 4 003,28
,Gramthan Gaunpalika,MORANG,Gramthan,Gaunpalika,1,5,47,11212,524 1 05 4 005,NP0105405,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 6 52 4 002,47
,Katahari Gaunpalika,MORANG,Katahari,Gaunpalika,1,5,50,11215,524 1 05 4 006,NP0105406,e_i_f_n_c_s,20,Community School,,Total number of schools community/institutional,,20,,,524 5 58 3 006,42
,Jahada Gaunpalika,MORANG,Jahada,Gaunpalika,1,5,48,11217,524 1 05 4 007,NP0105407,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 2 33 4 006,19
,Dhanpalthan Gaunpalika,MORANG,Dhanpalthan,Gaunpalika,1,5,46,11216,524 1 05 4 008,NP0105408,e_i_f_n_c_s,26,Community School,,Total number of schools community/institutional,,26,,,524 1 06 3 001,59
,Dharan Upamahanagarpalika,SUNSARI,Dharan,Upamahanagarpalika,1,6,64,11301,524 1 06 2 001,NP0106201,e_i_f_n_c_s,60,Community School,,Total number of schools community/institutional,,60,,,524 1 12 4 007,35
,Itahari Upamahanagarpalika,SUNSARI,Itahari,Upamahanagarpalika,1,6,69,11306,524 1 06 2 002,NP0106202,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 6 59 4 002,50
,Barah Nagarpalika,SUNSARI,Barah,Nagarpalika,1,6,60,11302,524 1 06 3 001,NP0106301,e_i_f_n_c_s,59,Community School,,Total number of schools community/institutional,,59,,,524 2 19 3 004,35
,Ramdhuni Nagarpalika,SUNSARI,Ramdhuni,Nagarpalika,1,6,71,11305,524 1 06 3 002,NP0106302,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 5 58 3 005,45
,Inaruwa Nagarpalika,SUNSARI,Inaruwa,Nagarpalika,1,6,68,11309,524 1 06 3 003,NP0106303,e_i_f_n_c_s,40,Community School,,Total number of schools community/institutional,,40,,,524 5 76 3 002,40
,Duhabi Nagarpalika,SUNSARI,Duhabi,Nagarpalika,1,6,65,11307,524 1 06 3 004,NP0106304,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 7 71 4 005,17
,Koshi Gaunpalika,SUNSARI,Koshi,Gaunpalika,1,6,70,11303,524 1 06 4 001,NP0106401,e_i_f_n_c_s,45,Community School,,Total number of schools community/institutional,,45,,,524 2 18 3 001,56
,Bhokraha Gaunpalika,SUNSARI,Bhokraha,Gaunpalika,1,6,62,11304,524 1 06 4 002,NP0106402,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 6 60 4 003,44
,Gadhi Gaunpalika,SUNSARI,Gadhi,Gaunpalika,1,6,66,11308,524 1 06 4 003,NP0106403,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 4 43 4 006,32
,Harinagara Gaunpalika,SUNSARI,Harinagara,Gaunpalika,1,6,67,11310,524 1 06 4 004,NP0106404,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 1 04 4 005,24
,Dewanganj Gaunpalika,SUNSARI,Dewanganj,Gaunpalika,1,6,63,11311,524 1 06 4 005,NP0106405,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 2 16 4 005,24
,Barju Gaunpalika,SUNSARI,Barju,Gaunpalika,1,6,61,11312,524 1 06 4 006,NP0106406,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 1 06 4 006,30
,Koshi Tappu Wildlife Reserve Wildlife Reserve,SUNSARI,Koshi Tappu Wildlife Reserve,Wildlife Reserve,1,6,72,99979,524 1 06 5 995,NP0106595,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 2 19 4 001,12
,Mahalaxmi Nagarpalika,DHANKUTA,Mahalaxmi,Nagarpalika,1,7,77,10701,524 1 07 3 001,NP0107301,e_i_f_n_c_s,53,Community School,,Total number of schools community/institutional,,53,,,524 2 17 4 001,21
,Pakhribas Nagarpalika,DHANKUTA,Pakhribas,Nagarpalika,1,7,78,10702,524 1 07 3 002,NP0107302,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 7 72 3 003,28
,Dhankuta Nagarpalika,DHANKUTA,Dhankuta,Nagarpalika,1,7,75,10704,524 1 07 3 003,NP0107303,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 1 14 3 004,52
,Khalsa Chhintang Shahidbhumi Gaunpalika,DHANKUTA,Khalsa Chhintang Shahidbhumi,Gaunpalika,1,7,76,10705,524 1 07 4 001,NP0107401,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 1 05 3 003,28
,Chhathar Jorpati Gaunpalika,DHANKUTA,Chhathar Jorpati,Gaunpalika,1,7,74,10703,524 1 07 4 002,NP0107402,e_i_f_n_c_s,33,Community School,,Total number of schools community/institutional,,33,,,524 7 72 3 006,17
,Sangurigadhi Gaunpalika,DHANKUTA,Sangurigadhi,Gaunpalika,1,7,79,10706,524 1 07 4 003,NP0107403,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 2 15 4 006,22
,Chaubise Gaunpalika,DHANKUTA,Chaubise,Gaunpalika,1,7,73,10707,524 1 07 4 004,NP0107404,e_i_f_n_c_s,52,Community School,,Total number of schools community/institutional,,52,,,524 3 28 3 002,55
,Laligurans Nagarpalika,TERHATHUM,Laligurans,Nagarpalika,1,8,82,10805,524 1 08 3 001,NP0108301,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 7 72 4 001,35
,Myanglung Nagarpalika,TERHATHUM,Myanglung,Nagarpalika,1,8,84,10804,524 1 08 3 002,NP0108302,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 4 44 3 001,60
,Menchayam Gaunpalika,TERHATHUM,Menchayam,Gaunpalika,1,8,83,10803,524 1 08 4 001,NP0108401,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 3 30 4 008,75
,Phedap Gaunpalika,TERHATHUM,Phedap,Gaunpalika,1,8,85,10802,524 1 08 4 002,NP0108402,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 4 37 3 002,60
,Aathrai Gaunpalika,TERHATHUM,Aathrai,Gaunpalika,1,8,80,10801,524 1 08 4 003,NP0108403,e_i_f_n_c_s,59,Community School,,Total number of schools community/institutional,,59,,,524 3 24 4 003,31
,Chhathar Gaunpalika,TERHATHUM,Chhathar,Gaunpalika,1,8,81,10806,524 1 08 4 004,NP0108404,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 1 04 3 008,33
,Khandbari Nagarpalika,SANKHUWASABHA,Khandbari,Nagarpalika,1,9,90,10206,524 1 09 3 001,NP0109301,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 2 16 4 009,16
,Panchakhapan Nagarpalika,SANKHUWASABHA,Panchakhapan,Nagarpalika,1,9,93,10207,524 1 09 3 002,NP0109302,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 6 61 4 007,39
,Chainpur Nagarpalika,SANKHUWASABHA,Chainpur,Nagarpalika,1,9,87,10208,524 1 09 3 003,NP0109303,e_i_f_n_c_s,59,Community School,,Total number of schools community/institutional,,59,,,524 7 73 4 001,35
,Dharmadevi Nagarpalika,SANKHUWASABHA,Dharmadevi,Nagarpalika,1,9,89,10210,524 1 09 3 004,NP0109304,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 6 61 4 002,44
,Madi Nagarpalika,SANKHUWASABHA,Madi,Nagarpalika,1,9,91,10209,524 1 09 3 005,NP0109305,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 7 71 3 004,31
,Makalu Gaunpalika,SANKHUWASABHA,Makalu,Gaunpalika,1,9,92,10202,524 1 09 4 001,NP0109401,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 3 26 3 003,36
,Bhotkhola Gaunpalika,SANKHUWASABHA,Bhotkhola,Gaunpalika,1,9,86,10201,524 1 09 4 002,NP0109402,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 2 18 3 004,37
,Silichong Gaunpalika,SANKHUWASABHA,Silichong,Gaunpalika,1,9,95,10203,524 1 09 4 003,NP0109403,e_i_f_n_c_s,40,Community School,,Total number of schools community/institutional,,40,,,524 4 40 3 003,72
,Chichila Gaunpalika,SANKHUWASABHA,Chichila,Gaunpalika,1,9,88,10204,524 1 09 4 004,NP0109404,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 3 35 1 001,125
,Sabhapokhari Gaunpalika,SANKHUWASABHA,Sabhapokhari,Gaunpalika,1,9,94,10205,524 1 09 4 005,NP0109405,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 6 60 3 002,55
,Shadananda Nagarpalika,BHOJPUR,Shadananda,Nagarpalika,1,10,103,10601,524 1 10 3 001,NP0110301,e_i_f_n_c_s,71,Community School,,Total number of schools community/institutional,,71,,,524 6 59 3 002,48
