District,District_ID,value
ACHHAM,69,100
ARGHAKHACHI,50,100
BAGLUNG,43,0
BAITADI,74,100
BAJHANG,67,100
BAJURA,68,100
BANKE,57,67
BARA,33,0
BARDIYA,58,100
BHOJPUR,10,100
CHITWAN,35,67
DADELDHURA,73,100
DAILEKH,61,100
DANG,56,50
DARCHULA,75,100
DHANUSHA,17,10
DOLAKHA,22,0
DOLPA,62,100
DOTI,70,100
GORKHA,36,100
GULMI,51,100
ILAM,3,100
JAJARKOT,60,100
JHAPA,4,100
JUMLA,63,100
KAILALI,71,100
KANCHANPUR,72,100
KAPILVASTU,49,100
KASKI,39,0
KATHMANDU,27,100
KHOTANG,12,100
LAMJUNG,37,0
MAHOTTARI,18,0
MORANG,5,100
MUGU,65,100
MUSTANG,45,100
MYAGDI,44,0
NAWALPARASI EAST,47,0
OKHALDHUNGA,13,100
PALPA,46,0
PANCHTHAR,2,0
PYUTHAN,55,100
RAMECHHAP,21,100
RASUWA,29,100
ROLPA,54,100
RUKUM EAST,52,100
RUKUM WEST,77,50
RUPENDEHI,48,0
SALYAN,53,0
SANKHUWASABHA,9,0
SAPTARI,15,0
SARLAHI,19,67
SINDHUPALCHOWK,23,0
SIRAHA,16,25
SOLUKHUMBU,11,0
SUNSARI,6,0
SURKHET,59,0
SYANGJA,41,0
TANAHU,40,100
TAPLEJUNG,1,0
TERHATHUM,8,100
UDAYAPUR,14,0
