Districts,Palika,HLCIT_CODE,cbs code,Total_NE,Total_PE,Agriculture_NE,Agriculture_PE,Manufacturing_NE,Manufacturing_PE,Construction_NE,Construction_PE,Wholesales_NE,Wholesales_PE,Transportations_NE,Transportations_PE,Accommodations_NE,Accommodations_PE,Financial_NE,Financial_PE,Education_NE,Education_PE,Social_Work_NE,Social_Work_PE,Real_Eastate_NE,Real_Eastate_PE
Achham,Bannigadhi Jayagadh Gaunpalika,524 7 69 4 003,70707,237,646,4,8,17,26,0,0,137,210,6,44,34,71,2,9,28,234,8,43,1,1
Achham,Chaurpati Gaunpalika,524 7 69 4 001,70705,358,791,15,21,33,46,2,2,206,283,2,7,30,44,4,8,41,300,22,75,3,5
Achham,Dhakari Gaunpalika,524 7 69 4 005,70709,371,785,34,45,13,25,0,0,222,296,2,9,37,57,1,1,49,301,7,42,6,9
Achham,Kamal bazar Municipality,524 7 69 3 003,70708,337,930,5,6,16,24,2,12,158,264,0,0,84,149,1,8,48,382,16,76,7,9
Achham,Mangalsen Municipality,524 7 69 3 002,70706,672,2350,20,34,54,155,3,13,299,624,13,122,118,287,19,187,50,439,41,272,55,217
Achham,Mellekh Gaunpalika,524 7 69 4 002,70703,270,647,8,8,23,26,3,8,151,175,1,2,34,42,3,3,38,325,7,56,2,2
Achham,Panchdebal Binayak Municipality,524 7 69 3 004,70701,396,1154,13,21,34,63,8,14,156,261,4,21,76,141,11,43,63,480,20,89,11,21
Achham,Ramaroshan Gaunpalika,524 7 69 4 004,70702,379,1002,11,21,31,53,6,17,226,398,3,14,27,48,2,5,57,378,8,55,8,13
Achham,Sanphebagar Municipality,524 7 69 3 001,70704,963,4540,6,16,103,173,6,31,569,835,8,27,117,248,16,2074,87,696,27,300,24,140
Achham,Turmakhand Gaunpalika,524 7 69 4 006,70710,301,835,19,37,9,20,0,0,159,253,2,8,32,65,8,16,56,383,11,48,5,5
Arghakhanchi,Bhumikasthan Municipality,524 5 50 3 001,50503,827,1681,46,78,122,189,1,3,397,567,8,24,86,128,20,26,69,513,35,87,43,66
Arghakhanchi,Chhatradev Gaunpalika,524 5 50 4 002,50501,758,1574,64,86,79,133,3,12,360,489,7,25,75,121,26,52,51,491,32,81,61,84
Arghakhanchi,Malarani Gaunpalika,524 5 50 4 001,50502,818,1666,57,80,102,153,1,1,380,508,5,18,70,98,34,73,70,563,32,75,67,97
Arghakhanchi,Panini Gaunpalika,524 5 50 4 003,50505,709,1525,49,100,95,128,1,1,320,421,4,16,96,147,22,35,61,510,20,67,41,100
Arghakhanchi,Sandhikharka Municipality,524 5 50 3 002,50504,2392,5583,96,185,273,650,4,62,1198,2036,20,106,331,683,54,192,109,922,53,240,254,507
Arghakhanchi,Shitaganga Municipality,524 5 50 3 003,50506,1115,2584,142,255,106,316,5,31,441,675,7,28,168,311,23,59,117,741,21,73,85,95
Baglung,Badigad Gaunpalika,524 4 43 4 003,41107,1041,2269,74,113,144,247,18,59,476,781,11,43,91,157,19,52,77,613,63,118,68,86
Baglung,Baglung Municipality,524 4 43 3 003,41101,2907,9320,112,536,350,1078,18,162,1540,3066,22,154,339,969,73,434,138,1780,67,375,248,766
Baglung,Bareng Gaunpalika,524 4 43 4 006,41109,240,662,2,6,25,35,3,23,137,242,2,4,26,49,4,37,28,217,10,34,3,15
